User,Transaction,Tag
User20,MPS/FORTIS /202314800225/401192/BANGALORE,Medical
User14,ME DC SI XXXXXXXXXXXXX BOOKING.COM /202354039286/338966/BANGALORE,Travel
User20,BIL XXXXXXXXXXXXX FABINDIA /202323879854/915367/BANGALORE,Shopping
User17,ME DC SI XXXXXXXXXXXXX PRIME VIDEO /202334297210/559479/BANGALORE,Subscription
User9,BIL XXXXXXXXXXXX TRIVAGO /202330726455/666818/BANGALORE,Travel
User5,POS/NETFLIX /202391299948/365358/BANGALORE,Subscription
User7,ME DC SI/GAANA /202332418449/930949/BANGALORE,Subscription
User1,BIL/1MG /202361659477/888761/BANGALORE,Medical
User7,ME DC SI/GOIBIBO /202379208611/902691/BANGALORE,Travel
User7,ME DC SI/BIG BAZAAR /202345712268/809139/BANGALORE,Shopping
User13,POS/MANOJ SWEETS /202341886091/126579/BANGALORE,Food
User14,ME DC SI/COLUMBIA ASIA /202384339094/941932/BANGALORE,Medical
User13,MPS/1MG /202377953556/599738/BANGALORE,Medical
User3,ME DC SI/PANTALOONS /202334037218/334247/BANGALORE,Shopping
User8,POS/FLIPKART /202359824164/918993/BANGALORE,Shopping
User2,ME DC SI XXXXXXXXXX NARAYANA HEALTH /202397247085/438285/BANGALORE,Medical
User7,POS/MCDONALDS /202304878461/310820/BANGALORE,Food
User9,POS XXXXXXXXXXXXXX TACO BELL /202395917443/824092/BANGALORE,Food
User5,BIL/PANTALOONS /202342052291/443976/BANGALORE,Shopping
User18,BIL XXXXXXXXXXXXXXX NETFLIX /202326634228/346507/BANGALORE,Subscription
User4,MPS/IKEA /202320318611/861588/BANGALORE,Shopping
User2,MPS XXXXXXXXXXXXXXX RELIANCE DIGITAL /202374912299/503824/BANGALORE,Shopping
User17,BIL XXXXXXXXXXXXXX SPICEJET /202329458933/260483/BANGALORE,Travel
User12,BIL XXXXXXXXXXXX TINDER /202367572500/571844/BANGALORE,Subscription
User9,MPS XXXXXXXXXXXXXXX COLUMBIA ASIA /202362648985/881005/BANGALORE,Medical
User20,ME DC SI XXXXXXXXXX SPOTIFY /202377733563/805064/BANGALORE,Subscription
User11,BIL XXXXXXXXXXXX OYO ROOMS /202361480370/574773/BANGALORE,Travel
User9,POS/NETFLIX /202349892709/555372/BANGALORE,Subscription
User11,POS/MAX HEALTHCARE /202396024567/166294/BANGALORE,Medical
User18,MPS/RAVI MEDICINE /202332450643/512887/BANGALORE,Medical
User9,MPS/BOOKING.COM /202306274758/120343/BANGALORE,Travel
User13,MPS XXXXXXXXXXXXXX APOLLO PHARMACY /202363722834/256664/BANGALORE,Medical
User4,BIL XXXXXXXXXXXX MAX HEALTHCARE /202315749163/598132/BANGALORE,Medical
User1,MPS/BIG BAZAAR /202395362403/343368/BANGALORE,Shopping
User6,MPS XXXXXXXXXXX MAX HEALTHCARE /202315023897/657123/BANGALORE,Medical
User6,BIL/MANIS DUM BIRYANI /202370512792/165105/BANGALORE,Food
User19,BIL XXXXXXXXXXX TACO BELL /202379375069/760405/BANGALORE,Food
User14,POS/SPOTIFY /202353752792/330156/BANGALORE,Subscription
User4,ME DC SI XXXXXXXXXXXX KANTI SWEETS /202305107569/777424/BANGALORE,Food
User12,POS XXXXXXXXXXX INDIGO /202377120505/178580/BANGALORE,Travel
User14,MPS/SONY LIV /202331454087/953548/BANGALORE,Subscription
User8,BIL XXXXXXXXXXXXXXX APOLLO PHARMACY /202307585147/289171/BANGALORE,Medical
User4,BIL XXXXXXXXXXXXX APOLLO PHARMACY /202314676666/481048/BANGALORE,Medical
User18,POS XXXXXXXXXXXXXX MCDONALDS /202304821510/595770/BANGALORE,Food
User4,ME DC SI/BURGER KING /202369594319/722626/BANGALORE,Food
User10,ME DC SI XXXXXXXXXXXXX HOTSTAR /202398900945/924016/BANGALORE,Subscription
User19,ME DC SI/YATRA /202354599270/947231/BANGALORE,Travel
User17,ME DC SI XXXXXXXXXXXXXXX GAANA /202320761098/984238/BANGALORE,Subscription
User7,BIL/AIR INDIA /202318411680/790865/BANGALORE,Travel
User19,ME DC SI XXXXXXXXXXXX PANTALOONS /202351297934/334431/BANGALORE,Shopping
User6,POS XXXXXXXXXXXXXX AIR INDIA /202325914184/140126/BANGALORE,Travel
User5,POS/DISNEY+ HOTSTAR /202374224601/457964/BANGALORE,Subscription
User19,ME DC SI/FORTIS /202395427972/178222/BANGALORE,Medical
User15,POS XXXXXXXXXXXXXXX SPICEJET /202325465363/374070/BANGALORE,Travel
User4,POS XXXXXXXXXXXX ARUN MEDICAL /202344610761/121287/BANGALORE,Medical
User4,MPS XXXXXXXXXXXX RELIANCE DIGITAL /202317648995/185873/BANGALORE,Shopping
User2,BIL XXXXXXXXXXXXXXX INDIGO /202376717942/379475/BANGALORE,Travel
User14,BIL XXXXXXXXXX NARAYANA HEALTH /202377986373/813970/BANGALORE,Medical
User20,POS/IRCTC /202380778197/548662/BANGALORE,Travel
User7,ME DC SI XXXXXXXXXXXXX MEDPLUS /202389325854/771890/BANGALORE,Medical
User11,POS/INDIGO /202321957299/713288/BANGALORE,Travel
User4,ME DC SI/HOTSTAR /202344658359/264882/BANGALORE,Subscription
User4,MPS/AIIMS /202357431637/666554/BANGALORE,Medical
User16,BIL/SONY LIV /202384580837/436814/BANGALORE,Subscription
User4,POS XXXXXXXXXXXX COLUMBIA ASIA /202377049649/654105/BANGALORE,Medical
User5,ME DC SI/IKEA /202386125984/823553/BANGALORE,Shopping
User9,BIL/TINDER /202323973620/586168/BANGALORE,Subscription
User17,MPS/IRCTC /202369674502/104113/BANGALORE,Travel
User12,ME DC SI/MEDPLUS /202377003730/418173/BANGALORE,Medical
User13,POS/ALT BALAJI /202382833378/630482/BANGALORE,Subscription
User16,MPS/SARAVANA BHAVAN /202388316769/991402/BANGALORE,Food
User10,BIL XXXXXXXXXXXXX MANOJ SWEETS /202373494951/958949/BANGALORE,Food
User20,ME DC SI/MCDONALDS /202394389446/441669/BANGALORE,Food
User1,POS XXXXXXXXXXXXXX AMAZON /202332133866/614867/BANGALORE,Shopping
User13,POS XXXXXXXXXXXXX ARUN MEDICAL /202377361027/945331/BANGALORE,Medical
User9,ME DC SI XXXXXXXXXXXXX SPICEJET /202399871670/132364/BANGALORE,Travel
User16,POS/HALDIRAMS /202381627153/910636/BANGALORE,Food
User10,ME DC SI XXXXXXXXXX GAANA /202387243384/405102/BANGALORE,Subscription
User15,MPS XXXXXXXXXX MAKEMYTRIP /202381603300/941088/BANGALORE,Travel
User7,POS XXXXXXXXXX ARUN MEDICAL /202301741953/292674/BANGALORE,Medical
User11,BIL XXXXXXXXXXXXX YATRA /202333967226/657649/BANGALORE,Travel
User3,MPS XXXXXXXXXXXXXXX HALDIRAMS /202384101299/174323/BANGALORE,Food
User15,MPS/MANIS DUM BIRYANI /202371719853/235938/BANGALORE,Food
User1,MPS XXXXXXXXXXXXXX TRIVAGO /202390278118/652045/BANGALORE,Travel
User3,MPS/DECATHLON /202303082343/221836/BANGALORE,Shopping
User18,ME DC SI XXXXXXXXXXXX RELIANCE DIGITAL /202356931447/768639/BANGALORE,Shopping
User18,BIL XXXXXXXXXXXXXX FABINDIA /202325149487/685053/BANGALORE,Shopping
User11,ME DC SI/MEDANTA /202392464920/646186/BANGALORE,Medical
User9,POS XXXXXXXXXXXXXX OYO ROOMS /202344514473/167283/BANGALORE,Travel
User16,ME DC SI/TINDER /202368795259/138412/BANGALORE,Subscription
User14,MPS XXXXXXXXXXXX INDIGO /202356206445/961237/BANGALORE,Travel
User3,POS/BURGER KING /202366665777/900067/BANGALORE,Food
User14,ME DC SI/NAGARJUNA BIRYANI /202346939110/263219/BANGALORE,Food
User12,MPS XXXXXXXXXXXX ZEE5 /202350955678/386167/BANGALORE,Subscription
User11,MPS/FABINDIA /202390873541/500499/BANGALORE,Shopping
User3,BIL XXXXXXXXXXXXXXX NETFLIX /202310599686/574741/BANGALORE,Subscription
User8,POS XXXXXXXXXXXXXXX BOOKING.COM /202335706517/888604/BANGALORE,Travel
User2,BIL XXXXXXXXXXX SPOTIFY /202303649771/735470/BANGALORE,Subscription
User20,ME DC SI/BUMBLE /202357229990/879732/BANGALORE,Subscription
User1,POS/FORTIS /202331419192/418368/BANGALORE,Medical
User10,BIL/IKEA /202346739009/892710/BANGALORE,Shopping
User9,BIL/VODAFONE RED /202304962322/493862/BANGALORE,Subscription
User15,ME DC SI/PANTALOONS /202395351136/318400/BANGALORE,Shopping
User14,ME DC SI XXXXXXXXXXXX TINDER /202394625849/809637/BANGALORE,Subscription
User14,POS XXXXXXXXXXXX IRCTC /202327920283/329226/BANGALORE,Travel
User19,MPS XXXXXXXXXX ZEE5 /202389275528/220214/BANGALORE,Subscription
User8,BIL XXXXXXXXXXXXXX SONY LIV /202315865082/161881/BANGALORE,Subscription
User7,BIL/APOLLO PHARMACY /202303117041/286986/BANGALORE,Medical
User6,ME DC SI XXXXXXXXXXXXXXX MEDPLUS /202350616166/865702/BANGALORE,Medical
User11,POS/BARBEQUE NATION /202383296961/864213/BANGALORE,Food
User20,ME DC SI/MEDANTA /202346953339/427450/BANGALORE,Medical
User8,POS XXXXXXXXXXXXX IKEA /202328852786/351404/BANGALORE,Shopping
User17,POS XXXXXXXXXXXX BOOKING.COM /202369731084/216673/BANGALORE,Travel
User9,MPS/TANISHQ /202392040062/337629/BANGALORE,Shopping
User14,BIL XXXXXXXXXXXXX FABINDIA /202319800339/728259/BANGALORE,Shopping
User16,ME DC SI XXXXXXXXXXXXXXX 1MG /202393996772/871083/BANGALORE,Medical
User19,ME DC SI/KARIM’S /202394034144/951178/BANGALORE,Food
User15,POS XXXXXXXXXXXXX BURGER KING /202333122224/441293/BANGALORE,Food
User6,ME DC SI/MEGHNA FOODS /202373270397/379518/BANGALORE,Food
User17,ME DC SI/MEDPLUS /202316507515/928651/BANGALORE,Medical
User9,MPS/ARUN MEDICAL /202339350305/253111/BANGALORE,Medical
User12,BIL/MAKEMYTRIP /202329220591/481615/BANGALORE,Travel
User6,BIL XXXXXXXXXXXXXXX BOOKING.COM /202384146095/523266/BANGALORE,Travel
User1,BIL/ARUN MEDICAL /202323254237/231409/BANGALORE,Medical
User1,MPS/INDIGO /202378233191/401159/BANGALORE,Travel
User15,MPS XXXXXXXXXXXX TINDER /202331261125/204341/BANGALORE,Subscription
User13,POS/ESHA SWEETS /202385899852/961062/BANGALORE,Food
User19,MPS/HALDIRAMS /202374924399/739974/BANGALORE,Food
User7,BIL/NARAYANA HEALTH /202390064499/411388/BANGALORE,Medical
User16,BIL XXXXXXXXXX DISNEY+ HOTSTAR /202382379585/245051/BANGALORE,Subscription
User9,POS XXXXXXXXXXXXX MEDPLUS /202304822657/498500/BANGALORE,Medical
User8,POS/YATRA /202358551389/140843/BANGALORE,Travel
User4,ME DC SI/NETFLIX /202377482922/330206/BANGALORE,Subscription
User16,BIL/MCDONALDS /202309868116/987515/BANGALORE,Food
User13,MPS XXXXXXXXXXXXXXX MANIS DUM BIRYANI /202331166083/125957/BANGALORE,Food
User4,ME DC SI/YATRA /202312215968/686184/BANGALORE,Travel
User15,MPS XXXXXXXXXX YATRA /202360928017/254141/BANGALORE,Travel
User14,BIL XXXXXXXXXXXXXXX 1MG /202357843412/457247/BANGALORE,Medical
User10,BIL/ESHA SWEETS /202377596855/762571/BANGALORE,Food
User7,BIL XXXXXXXXXXXXX YATRA /202310897554/932760/BANGALORE,Travel
User19,POS XXXXXXXXXXXX BIG BAZAAR /202334973463/987293/BANGALORE,Shopping
User13,MPS/TRIVAGO /202335803761/529495/BANGALORE,Travel
User16,BIL XXXXXXXXXXXXXXX BOOKING.COM /202373822641/900593/BANGALORE,Travel
User16,ME DC SI/KARIM’S /202386119752/906974/BANGALORE,Food
User12,BIL/1MG /202386231029/946655/BANGALORE,Medical
User11,MPS/VODAFONE RED /202349821767/556529/BANGALORE,Subscription
User11,POS/TRIVAGO /202313823875/583348/BANGALORE,Travel
User9,ME DC SI XXXXXXXXXXXXX MEDANTA /202356728810/457001/BANGALORE,Medical
User13,BIL XXXXXXXXXXXX AMAZON /202340272433/230302/BANGALORE,Shopping
User10,ME DC SI/PANTALOONS /202302745049/995956/BANGALORE,Shopping
User3,ME DC SI/FORTIS /202350932829/616666/BANGALORE,Medical
User7,BIL XXXXXXXXXX FLIPKART /202351870574/604011/BANGALORE,Shopping
User17,MPS XXXXXXXXXXXXXX NETMEDS /202331859097/308714/BANGALORE,Medical
User9,ME DC SI XXXXXXXXXXXXXX HOTSTAR /202380177235/803922/BANGALORE,Subscription
User4,BIL/SHOPPERS STOP /202340311579/533113/BANGALORE,Shopping
User17,POS XXXXXXXXXX FLIPKART /202321868941/456996/BANGALORE,Shopping
User12,POS/SPOTIFY /202313650032/223892/BANGALORE,Subscription
User17,ME DC SI/INDIGO /202336888982/269416/BANGALORE,Travel
User8,MPS XXXXXXXXXXXX MANIS DUM BIRYANI /202320850832/477958/BANGALORE,Food
User7,MPS/HOTSTAR /202346437168/601564/BANGALORE,Subscription
User10,MPS XXXXXXXXXXXXXXX TRUFFLES /202346157758/323197/BANGALORE,Food
User1,POS/TANISHQ /202361699839/173986/BANGALORE,Shopping
User3,ME DC SI/AIR INDIA /202320259823/502089/BANGALORE,Travel
User15,BIL/MEGHNA FOODS /202347288515/647963/BANGALORE,Food
User16,BIL/ALT BALAJI /202311603169/935118/BANGALORE,Subscription
User17,ME DC SI XXXXXXXXXXXXXXX TANISHQ /202306479489/853731/BANGALORE,Shopping
User12,MPS/TRIVAGO /202349062795/721930/BANGALORE,Travel
User11,POS/MANOJ SWEETS /202315066317/417493/BANGALORE,Food
User10,MPS XXXXXXXXXX BURGER KING /202355395066/445005/BANGALORE,Food
User9,ME DC SI/MANIS DUM BIRYANI /202374728784/285934/BANGALORE,Food
User15,BIL/DOMINOS PIZZA /202334731574/369591/BANGALORE,Food
User4,MPS XXXXXXXXXX BIG BAZAAR /202370735682/444290/BANGALORE,Shopping
User19,ME DC SI XXXXXXXXXX KANTI SWEETS /202310749069/232055/BANGALORE,Food
User19,ME DC SI XXXXXXXXXXXXXXX DOMINOS PIZZA /202332755592/425645/BANGALORE,Food
User15,MPS/FLIPKART /202393677900/340492/BANGALORE,Shopping
User6,MPS XXXXXXXXXXX HALDIRAMS /202339795847/398902/BANGALORE,Food
User3,MPS XXXXXXXXXXXXX OYO ROOMS /202363276406/479528/BANGALORE,Travel
User19,BIL XXXXXXXXXXXXXX IKEA /202323187648/322418/BANGALORE,Shopping
User19,POS/RAVI MEDICINE /202347900997/443032/BANGALORE,Medical
User17,POS/AIR INDIA /202381250247/395757/BANGALORE,Travel
User6,ME DC SI XXXXXXXXXXXXXX APOLLO PHARMACY /202387989417/859662/BANGALORE,Medical
User1,POS/APOLLO PHARMACY /202339994391/268481/BANGALORE,Medical
User11,ME DC SI/ALT BALAJI /202321393021/914948/BANGALORE,Subscription
User12,MPS/MAX HEALTHCARE /202303575154/636737/BANGALORE,Medical
User4,POS XXXXXXXXXXXXXXX PANTALOONS /202336422776/531650/BANGALORE,Shopping
User1,POS/PRIME VIDEO /202331317775/123219/BANGALORE,Subscription
User14,MPS/PARADISE BIRYANI /202359780773/173644/BANGALORE,Food
User3,BIL/FLIPKART /202322586549/506773/BANGALORE,Shopping
User18,MPS/AIIMS /202321499539/868427/BANGALORE,Medical
User12,BIL XXXXXXXXXX HOTSTAR /202314292659/689357/BANGALORE,Subscription
User5,MPS XXXXXXXXXXXXX NAGARJUNA BIRYANI /202375513941/113065/BANGALORE,Food
User1,MPS/RELIANCE DIGITAL /202390749545/981950/BANGALORE,Shopping
User16,BIL XXXXXXXXXXXXXX SPICEJET /202350420231/665572/BANGALORE,Travel
User6,MPS XXXXXXXXXX ESHA SWEETS /202356572654/959735/BANGALORE,Food
User3,ME DC SI/COLUMBIA ASIA /202365364110/727299/BANGALORE,Medical
User3,ME DC SI XXXXXXXXXXXXX NARAYANA HEALTH /202339724780/395246/BANGALORE,Medical
User8,ME DC SI/INDIGO /202384787474/901916/BANGALORE,Travel
User8,ME DC SI XXXXXXXXXXXXXXX NETFLIX /202381982681/839776/BANGALORE,Subscription
User13,MPS/BARBEQUE NATION /202347256590/213870/BANGALORE,Food
User8,MPS XXXXXXXXXXX MEGHNA FOODS /202303560345/626102/BANGALORE,Food
User19,BIL/GOIBIBO /202390368176/910556/BANGALORE,Travel
User5,MPS/BARBEQUE NATION /202354046387/647666/BANGALORE,Food
User16,MPS XXXXXXXXXXX INDIGO /202355013770/142817/BANGALORE,Travel
User20,ME DC SI XXXXXXXXXXXXXXX PRIME VIDEO /202386075885/525170/BANGALORE,Subscription
User3,MPS/SPICEJET /202345307247/897565/BANGALORE,Travel
User12,MPS XXXXXXXXXXXXXXX IRCTC /202330437942/510403/BANGALORE,Travel
User15,ME DC SI/TANISHQ /202303046005/270817/BANGALORE,Shopping
User11,ME DC SI/1MG /202308383511/742440/BANGALORE,Medical
User9,POS XXXXXXXXXXXXX ZEE5 /202307615452/360787/BANGALORE,Subscription
User11,BIL XXXXXXXXXXXXX FLIPKART /202339820997/382324/BANGALORE,Shopping
User14,BIL/NETFLIX /202398878905/393165/BANGALORE,Subscription
User8,POS XXXXXXXXXXXXXX MEDPLUS /202383977270/458127/BANGALORE,Medical
User3,POS XXXXXXXXXXXXXX SONY LIV /202371938053/453726/BANGALORE,Subscription
User2,POS/BURGER KING /202304594870/812505/BANGALORE,Food
User3,BIL XXXXXXXXXXXXXXX AIIMS /202340815673/571813/BANGALORE,Medical
User15,MPS/MAX HEALTHCARE /202379279790/369071/BANGALORE,Medical
User5,MPS/ALT BALAJI /202309671787/651290/BANGALORE,Subscription
User1,MPS/DECATHLON /202333286633/249988/BANGALORE,Shopping
User5,MPS XXXXXXXXXX APOLLO PHARMACY /202392617217/143149/BANGALORE,Medical
User14,BIL XXXXXXXXXXXX BUMBLE /202331749166/831911/BANGALORE,Subscription
User17,ME DC SI/IKEA /202399169390/980990/BANGALORE,Shopping
User20,MPS/DECATHLON /202343246091/251012/BANGALORE,Shopping
User13,BIL/APOLLO PHARMACY /202380123006/389115/BANGALORE,Medical
User13,BIL/PRIME VIDEO /202306824300/516085/BANGALORE,Subscription
User3,MPS/TRIVAGO /202356328029/600230/BANGALORE,Travel
User5,POS XXXXXXXXXXXXX MEGHNA FOODS /202316729306/389505/BANGALORE,Food
User9,POS/BURGER KING /202311032991/969382/BANGALORE,Food
User20,BIL XXXXXXXXXXXXXXX KANTI SWEETS /202312896084/678500/BANGALORE,Food
User20,MPS XXXXXXXXXXXXXXX AIR INDIA /202317429659/116020/BANGALORE,Travel
User9,MPS XXXXXXXXXXXX RELIANCE DIGITAL /202399079928/243012/BANGALORE,Shopping
User9,BIL/INDIGO /202352321420/508288/BANGALORE,Travel
User5,BIL XXXXXXXXXXXXX BOOKING.COM /202308449460/834431/BANGALORE,Travel
User8,POS/IKEA /202361088574/453906/BANGALORE,Shopping
User3,MPS XXXXXXXXXXX BOOKING.COM /202302790495/564374/BANGALORE,Travel
User10,BIL XXXXXXXXXXXXXXX SPICEJET /202375951923/854378/BANGALORE,Travel
User4,BIL/SPOTIFY /202330000810/453472/BANGALORE,Subscription
User10,POS/PARADISE BIRYANI /202338375764/639301/BANGALORE,Food
User10,MPS XXXXXXXXXXXXX DOMINOS PIZZA /202343995385/612605/BANGALORE,Food
User15,MPS/IKEA /202318958027/440186/BANGALORE,Shopping
User20,MPS XXXXXXXXXX PANTALOONS /202306465959/229575/BANGALORE,Shopping
User9,BIL XXXXXXXXXXXXXX PARADISE BIRYANI /202395363214/625700/BANGALORE,Food
User2,ME DC SI XXXXXXXXXXXXXX PRIME VIDEO /202359400010/240215/BANGALORE,Subscription
User12,BIL/BURGER KING /202382881170/743554/BANGALORE,Food
User19,ME DC SI/AIR INDIA /202392893993/322026/BANGALORE,Travel
User1,BIL/SPICEJET /202341557668/935619/BANGALORE,Travel
User19,ME DC SI/RELIANCE DIGITAL /202393284063/259955/BANGALORE,Shopping
User9,MPS/TRUFFLES /202329668560/591944/BANGALORE,Food
User2,MPS/YATRA /202311663645/886812/BANGALORE,Travel
User8,POS XXXXXXXXXXXXXXX HOTSTAR /202389597154/680989/BANGALORE,Subscription
User4,MPS XXXXXXXXXXXXXXX TINDER /202339651737/348528/BANGALORE,Subscription
User16,BIL/TANISHQ /202300188202/921318/BANGALORE,Shopping
User13,MPS/TACO BELL /202369983765/765378/BANGALORE,Food
User5,BIL XXXXXXXXXXXX YATRA /202330487883/534137/BANGALORE,Travel
User5,MPS XXXXXXXXXX SHOPPERS STOP /202315957720/148109/BANGALORE,Shopping
User9,ME DC SI XXXXXXXXXXXX IKEA /202332587563/708329/BANGALORE,Shopping
User16,BIL XXXXXXXXXXXXX PRIME VIDEO /202343666221/554721/BANGALORE,Subscription
User20,BIL/GOIBIBO /202330544266/648706/BANGALORE,Travel
User13,BIL/INDIGO /202365693667/346947/BANGALORE,Travel
User5,ME DC SI/VODAFONE RED /202369133325/323421/BANGALORE,Subscription
User19,ME DC SI/TINDER /202375850071/265026/BANGALORE,Subscription
User12,BIL/ARUN MEDICAL /202389046392/318572/BANGALORE,Medical
User1,POS XXXXXXXXXXXXXX MAKEMYTRIP /202329996695/245367/BANGALORE,Travel
User13,ME DC SI XXXXXXXXXXXX RELIANCE DIGITAL /202391602581/126571/BANGALORE,Shopping
User18,BIL XXXXXXXXXXXXX DECATHLON /202384667950/103448/BANGALORE,Shopping
User13,MPS/NARAYANA HEALTH /202344439309/595974/BANGALORE,Medical
User7,MPS XXXXXXXXXXX MANIS DUM BIRYANI /202300681076/362198/BANGALORE,Food
User10,BIL/RAVI MEDICINE /202393198650/392574/BANGALORE,Medical
User1,MPS XXXXXXXXXXX IRCTC /202381644943/976982/BANGALORE,Travel
User1,ME DC SI XXXXXXXXXX SHOPPERS STOP /202312158821/783755/BANGALORE,Shopping
User8,ME DC SI/RAVI MEDICINE /202317989134/586225/BANGALORE,Medical
User4,ME DC SI/GAANA /202338133289/875743/BANGALORE,Subscription
User10,BIL XXXXXXXXXXXXXXX MAKEMYTRIP /202358416659/440481/BANGALORE,Travel
User3,MPS XXXXXXXXXXX MAKEMYTRIP /202362263172/315871/BANGALORE,Travel
User18,ME DC SI/NAGARJUNA BIRYANI /202382542086/200843/BANGALORE,Food
User20,POS XXXXXXXXXXX NETFLIX /202347919971/741446/BANGALORE,Subscription
User13,POS/MAKEMYTRIP /202398012090/334652/BANGALORE,Travel
User6,BIL/SONY LIV /202341873273/866778/BANGALORE,Subscription
User3,BIL XXXXXXXXXXXXXXX RELIANCE DIGITAL /202378424349/662179/BANGALORE,Shopping
User15,POS/MANOJ SWEETS /202336044380/372921/BANGALORE,Food
User8,ME DC SI/MANOJ SWEETS /202302118594/339102/BANGALORE,Food
User14,BIL XXXXXXXXXXXX ZEE5 /202337300540/934846/BANGALORE,Subscription
User15,BIL XXXXXXXXXXXXXXX INDIGO /202314416478/133795/BANGALORE,Travel
User20,BIL XXXXXXXXXXX NAGARJUNA BIRYANI /202379518981/671979/BANGALORE,Food
User5,ME DC SI XXXXXXXXXXXXX TACO BELL /202314709301/735035/BANGALORE,Food
User12,BIL/NETMEDS /202380474444/998248/BANGALORE,Medical
User6,BIL XXXXXXXXXXXXX DECATHLON /202317544636/731220/BANGALORE,Shopping
User20,POS XXXXXXXXXX PRIME VIDEO /202306421425/384534/BANGALORE,Subscription
User2,ME DC SI/TRIVAGO /202302696576/168455/BANGALORE,Travel
User11,MPS/SHOPPERS STOP /202313938406/844060/BANGALORE,Shopping
User19,BIL XXXXXXXXXX NETFLIX /202312470928/530460/BANGALORE,Subscription
User11,POS/COLUMBIA ASIA /202300045004/381923/BANGALORE,Medical
User8,MPS XXXXXXXXXXXXX FABINDIA /202310044133/816998/BANGALORE,Shopping
User15,ME DC SI/ESHA SWEETS /202352228922/772856/BANGALORE,Food
User3,ME DC SI/IRCTC /202375241219/346549/BANGALORE,Travel
User6,BIL/TRUFFLES /202318134919/596820/BANGALORE,Food
User18,POS/PANTALOONS /202304426738/424175/BANGALORE,Shopping
User16,BIL/SHOPPERS STOP /202365338058/884855/BANGALORE,Shopping
User12,MPS XXXXXXXXXXXX HALDIRAMS /202302815451/315654/BANGALORE,Food
User20,BIL XXXXXXXXXX TINDER /202345456610/481549/BANGALORE,Subscription
User15,ME DC SI/ARUN MEDICAL /202320156098/800835/BANGALORE,Medical
User1,POS/SPOTIFY /202328621278/808271/BANGALORE,Subscription
User10,BIL XXXXXXXXXXX MEGHNA FOODS /202337558169/635685/BANGALORE,Food
User20,MPS XXXXXXXXXXXXX DISNEY+ HOTSTAR /202371002014/526022/BANGALORE,Subscription
User17,POS/AMAZON /202372491616/582766/BANGALORE,Shopping
User19,ME DC SI XXXXXXXXXXXXX BARBEQUE NATION /202388973315/486619/BANGALORE,Food
User15,MPS/NETFLIX /202369721332/232313/BANGALORE,Subscription
User10,BIL XXXXXXXXXXXXXXX MEDPLUS /202327007509/577235/BANGALORE,Medical
User18,BIL/GOIBIBO /202371746042/794871/BANGALORE,Travel
User1,POS XXXXXXXXXXX IKEA /202336506466/994232/BANGALORE,Shopping
User14,POS/GAANA /202331771737/539166/BANGALORE,Subscription
User19,MPS XXXXXXXXXXXXXX ARUN MEDICAL /202351320219/280950/BANGALORE,Medical
User1,ME DC SI/MEDANTA /202375483779/131136/BANGALORE,Medical
User14,MPS/AIIMS /202384485194/617959/BANGALORE,Medical
User15,BIL XXXXXXXXXX BARBEQUE NATION /202365161267/921927/BANGALORE,Food
User4,MPS/BOOKING.COM /202317631826/699559/BANGALORE,Travel
User12,ME DC SI/FABINDIA /202363008820/676043/BANGALORE,Shopping
User14,ME DC SI/SPICEJET /202319602378/862005/BANGALORE,Travel
